"fy_ef","org_id","org_name","voted_or_statutory","description","authorities","expenditures"
"FY 2019-20",14,"Atomic Energy of Canada Limited","S","Payments to Atomic Energy of Canada Limited",2100000.00,2100000.00
"FY 2019-20",26,"Canada Border Services Agency",1,"Operating/Program",1939596099.00,1746415721.00
"FY 2019-20",26,"Canada Border Services Agency",10,"Budget Implementation Vote",928920.00,0.00
"FY 2019-20",26,"Canada Border Services Agency",15,"Budget Implementation Vote",500000.00,0.00
"FY 2019-20",26,"Canada Border Services Agency",20,"Budget Implementation Vote",21798880.00,0.00
"FY 2019-20",26,"Canada Border Services Agency",25,"Budget Implementation Vote",2120113.00,0.00
"FY 2019-20",26,"Canada Border Services Agency",30,"Budget Implementation Vote",28032443.00,0.00
"FY 2019-20",26,"Canada Border Services Agency",35,"Budget Implementation Vote",1550000.00,0.00
"FY 2019-20",26,"Canada Border Services Agency",5,"Capital",244895934.00,124738637.00
"FY 2019-20",26,"Canada Border Services Agency","S","Contributions to employee benefit plans",192589704.00,192589704.00
"FY 2019-20",26,"Canada Border Services Agency","S","Refunds of amounts credited to revenues in previous years",12578.00,12578.00
"FY 2019-20",26,"Canada Border Services Agency","S","Spending of proceeds from the disposal of surplus Crown assets",664624.00,583367.00
"FY 2019-20",29,"Canada Council for the Arts",1,"Payments to Crown Corps",327771295.00,327771295.00
"FY 2019-20",42,"Canada Mortgage and Housing Corporation",1,"Payments to Crown Corps",2744251250.00,2215671739.00
"FY 2019-20",42,"Canada Mortgage and Housing Corporation",10,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",42,"Canada Mortgage and Housing Corporation",5,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",44,"Canada Post Corporation",1,"Payments to Crown Corps",22210000.00,22210000.00
"FY 2019-20",46,"Canada Revenue Agency",1,"Operating/Program",3785608037.00,3504436228.00
"FY 2019-20",46,"Canada Revenue Agency",10,"Budget Implementation Vote",196404.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",15,"Budget Implementation Vote",2856861.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",20,"Budget Implementation Vote",1996530.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",25,"Budget Implementation Vote",2072225.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",30,"Budget Implementation Vote",6868488.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",35,"Budget Implementation Vote",2301415.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",40,"Budget Implementation Vote",17594.00,0.00
"FY 2019-20",46,"Canada Revenue Agency",5,"Capital",62301781.00,52522568.00
"FY 2019-20",46,"Canada Revenue Agency","S","Children's special allowance payments",351623087.00,351623087.00
"FY 2019-20",46,"Canada Revenue Agency","S","Contributions to employee benefit plans",462465755.00,462465755.00
"FY 2019-20",46,"Canada Revenue Agency","S","Court Awards",13776.00,13776.00
"FY 2019-20",46,"Canada Revenue Agency","S","Court Awards",1556929.00,1556929.00
"FY 2019-20",46,"Canada Revenue Agency","S","Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act",2629934241.00,2629934241.00
"FY 2019-20",46,"Canada Revenue Agency","S","Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act",5609890.00,5609890.00
"FY 2019-20",46,"Canada Revenue Agency","S","Losses on Foreign Exchange",5049.00,5049.00
"FY 2019-20",46,"Canada Revenue Agency","S","Refunds of amounts credited to revenues in previous years",42091.00,42091.00
"FY 2019-20",46,"Canada Revenue Agency","S","Salary and Motor Car Allowance",87500.00,87500.00
"FY 2019-20",46,"Canada Revenue Agency","S","Spending of proceeds from the disposal of surplus Crown assets",94882.00,94882.00
"FY 2019-20",46,"Canada Revenue Agency","S","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",189819164.00,189819164.00
"FY 2019-20",47,"Canada School of Public Service",1,"Operating/Program",65791215.00,64204260.00
"FY 2019-20",47,"Canada School of Public Service","S","Contributions to employee benefit plans",8751948.00,8751948.00
"FY 2019-20",47,"Canada School of Public Service","S","Spending of proceeds from the disposal of surplus Crown assets",449.00,
"FY 2019-20",47,"Canada School of Public Service","S","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",13335390.00,8424048.00
"FY 2019-20",51,"Canadian Air Transport Security Authority",1,"Payments to Crown Corps",898271254.00,847862166.00
"FY 2019-20",51,"Canadian Air Transport Security Authority",5,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",53,"Canadian Broadcasting Corporation",1,"Payments to Crown Corps",1098113846.00,1098113846.00
"FY 2019-20",53,"Canadian Broadcasting Corporation",10,"Payments to Crown Corps",108684000.00,108684000.00
"FY 2019-20",53,"Canadian Broadcasting Corporation",5,"Payments to Crown Corps",4000000.00,4000000.00
"FY 2019-20",55,"Canadian Centre for Occupational Health and Safety",1,"Operating/Program",4590663.00,4590663.00
"FY 2019-20",55,"Canadian Centre for Occupational Health and Safety","S","Contributions to employee benefit plans",1139284.00,1139284.00
"FY 2019-20",55,"Canadian Centre for Occupational Health and Safety","S","Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act",10884838.00,5451043.00
"FY 2019-20",61,"Canadian Dairy Commission",1,"Operating/Program",3967223.00,3967223.00
"FY 2019-20",63,"Impact Assessment Agency of Canada",1,"Operating/Program",53850300.00,49805531.00
"FY 2019-20",63,"Impact Assessment Agency of Canada",5,"Grants & Contributions",14525184.00,7388431.00
"FY 2019-20",63,"Impact Assessment Agency of Canada","S","Contributions to employee benefit plans",6252935.00,6252935.00
"FY 2019-20",65,"Canadian Food Inspection Agency",1,"Operating/Program",637909878.00,593506878.00
"FY 2019-20",65,"Canadian Food Inspection Agency",10,"Budget Implementation Vote",616458.00,0.00
"FY 2019-20",65,"Canadian Food Inspection Agency",15,"Budget Implementation Vote",512464.00,0.00
"FY 2019-20",65,"Canadian Food Inspection Agency",20,"Budget Implementation Vote",2671241.00,0.00
"FY 2019-20",65,"Canadian Food Inspection Agency",25,"Budget Implementation Vote",7678490.00,0.00
"FY 2019-20",65,"Canadian Food Inspection Agency",5,"Capital",27467367.00,23566954.00
"FY 2019-20",65,"Canadian Food Inspection Agency","S","Collection Agency Fees",15.00,15.00
"FY 2019-20",65,"Canadian Food Inspection Agency","S","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",6465506.00,6465506.00
"FY 2019-20",65,"Canadian Food Inspection Agency","S","Contributions to employee benefit plans",75427764.00,75427764.00
"FY 2019-20",65,"Canadian Food Inspection Agency","S","Refunds of amounts credited to revenues in previous years",92559.00,92559.00
"FY 2019-20",65,"Canadian Food Inspection Agency","S","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",71633243.00,52561837.00
"FY 2019-20",65,"Canadian Food Inspection Agency","S","Spending of proceeds from the disposal of surplus Crown assets",676282.00,645230.00
"FY 2019-20",69,"Canadian Grain Commission",1,"Operating/Program",5033085.00,5023176.00
"FY 2019-20",69,"Canadian Grain Commission","S","Canadian Grain Commission Revolving Fund",134334146.00,-2963596.00
"FY 2019-20",69,"Canadian Grain Commission","S","Contributions to employee benefit plans",629245.00,629245.00
"FY 2019-20",69,"Canadian Grain Commission","S","Spending of proceeds from the disposal of surplus Crown assets",16366.00,16366.00
"FY 2019-20",71,"Canadian Human Rights Commission",1,"Operating/Program",28152910.00,22301770.00
"FY 2019-20",71,"Canadian Human Rights Commission",5,"Budget Implementation Vote",68970.00,0.00
"FY 2019-20",71,"Canadian Human Rights Commission","S","Contributions to employee benefit plans",2739951.00,2739951.00
"FY 2019-20",71,"Canadian Human Rights Commission","S","Spending of proceeds from the disposal of surplus Crown assets",93.00,92.00
"FY 2019-20",74,"Canadian Institutes of Health Research",1,"Operating/Program",61744355.00,60554665.00
"FY 2019-20",74,"Canadian Institutes of Health Research",10,"Budget Implementation Vote",35988.00,0.00
"FY 2019-20",74,"Canadian Institutes of Health Research",15,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",74,"Canadian Institutes of Health Research",5,"Grants & Contributions",1137200900.00,1134827280.00
"FY 2019-20",74,"Canadian Institutes of Health Research","S","Contributions to employee benefit plans",6668909.00,6668909.00
"FY 2019-20",76,"Canadian Intergovernmental Conference Secretariat",1,"Operating/Program",5914090.00,5083797.00
"FY 2019-20",76,"Canadian Intergovernmental Conference Secretariat","S","Contributions to employee benefit plans",341812.00,341812.00
"FY 2019-20",76,"Canadian Intergovernmental Conference Secretariat","S","Spending of proceeds from the disposal of surplus Crown assets",470.00,
"FY 2019-20",81,"Canadian Museum for Human Rights",1,"Payments to Crown Corps",26954953.00,26954953.00
"FY 2019-20",82,"Canadian Museum of History",1,"Payments to Crown Corps",75728888.00,75728888.00
"FY 2019-20",84,"Canadian Museum of Immigration at Pier 21",1,"Payments to Crown Corps",7905183.00,7905183.00
"FY 2019-20",85,"Canadian Museum of Nature",1,"Payments to Crown Corps",29196950.00,29196950.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency",1,"Operating/Program",19094885.00,18818908.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency",10,"Budget Implementation Vote",92428.00,0.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency",15,"Budget Implementation Vote",28234.00,0.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency",20,"Budget Implementation Vote",424900.00,0.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency",5,"Grants & Contributions",47261760.00,46756093.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency","S","Contributions to employee benefit plans",1587467.00,1587467.00
"FY 2019-20",86,"Canadian Northern Economic Development Agency","S","Spending of proceeds from the disposal of surplus Crown assets",33225.00,
"FY 2019-20",87,"Canadian Nuclear Safety Commission",1,"Operating/Program",42218783.00,40926404.00
"FY 2019-20",87,"Canadian Nuclear Safety Commission","S","Contributions to employee benefit plans",13927150.00,13927150.00
"FY 2019-20",87,"Canadian Nuclear Safety Commission","S","Spending of proceeds from the disposal of surplus Crown assets",8784.00,8714.00
"FY 2019-20",87,"Canadian Nuclear Safety Commission","S","Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act",97889710.00,93103115.00
"FY 2019-20",93,"Canadian Radio-television and Telecommunications Commission",1,"Operating/Program",7459012.00,4757165.00
"FY 2019-20",93,"Canadian Radio-television and Telecommunications Commission",5,"Budget Implementation Vote",2545092.00,0.00
"FY 2019-20",93,"Canadian Radio-television and Telecommunications Commission","S","Contributions to employee benefit plans",7293567.00,7293567.00
"FY 2019-20",93,"Canadian Radio-television and Telecommunications Commission","S","Spending of proceeds from the disposal of surplus Crown assets",12876.00,9366.00
"FY 2019-20",94,"Canadian Security Intelligence Service",1,"Operating/Program",578779590.00,564088047.00
"FY 2019-20",94,"Canadian Security Intelligence Service",10,"Budget Implementation Vote",51030.00,0.00
"FY 2019-20",94,"Canadian Security Intelligence Service",15,"Budget Implementation Vote",1762870.00,0.00
"FY 2019-20",94,"Canadian Security Intelligence Service",20,"Budget Implementation Vote",491445.00,0.00
"FY 2019-20",94,"Canadian Security Intelligence Service",25,"Budget Implementation Vote",1160244.00,0.00
"FY 2019-20",94,"Canadian Security Intelligence Service",5,"Budget Implementation Vote",162177.00,0.00
"FY 2019-20",94,"Canadian Security Intelligence Service","S","Contributions to employee benefit plans",46616021.00,46616021.00
"FY 2019-20",94,"Canadian Security Intelligence Service","S","Spending of proceeds from the disposal of surplus Crown assets",955748.00,381025.00
"FY 2019-20",95,"Canadian Space Agency",1,"Operating/Program",189687001.00,178869332.00
"FY 2019-20",95,"Canadian Space Agency",10,"Grants & Contributions",59626000.00,59582624.00
"FY 2019-20",95,"Canadian Space Agency",5,"Capital",182467624.00,75927158.00
"FY 2019-20",95,"Canadian Space Agency","S","Contributions to employee benefit plans",10044578.00,10044578.00
"FY 2019-20",95,"Canadian Space Agency","S","Spending of proceeds from the disposal of surplus Crown assets",12935.00,12399.00
"FY 2019-20",97,"Canadian Tourism Commission",1,"Payments to Crown Corps",100665913.00,100665913.00
"FY 2019-20",97,"Canadian Tourism Commission",5,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",98,"Canadian Transportation Accident Investigation and Safety Board",1,"Operating/Program",32573046.00,31937754.00
"FY 2019-20",98,"Canadian Transportation Accident Investigation and Safety Board","S","Contributions to employee benefit plans",3696718.00,3696718.00
"FY 2019-20",98,"Canadian Transportation Accident Investigation and Safety Board","S","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",27862.00,27862.00
"FY 2019-20",98,"Canadian Transportation Accident Investigation and Safety Board","S","Spending of proceeds from the disposal of surplus Crown assets",88873.00,38152.00
"FY 2019-20",99,"Canadian Transportation Agency",1,"Operating/Program",36433079.00,31492646.00
"FY 2019-20",99,"Canadian Transportation Agency","S","Contributions to employee benefit plans",3784368.00,3784368.00
"FY 2019-20",99,"Canadian Transportation Agency","S","Spending of proceeds from the disposal of surplus Crown assets",772.00,772.00
"FY 2019-20",110,"Communications Security Establishment",1,"Operating/Program",728880193.00,720077864.00
"FY 2019-20",110,"Communications Security Establishment",10,"Budget Implementation Vote",228531.00,0.00
"FY 2019-20",110,"Communications Security Establishment",15,"Budget Implementation Vote",193216.00,0.00
"FY 2019-20",110,"Communications Security Establishment",20,"Budget Implementation Vote",773808.00,0.00
"FY 2019-20",110,"Communications Security Establishment",5,"Budget Implementation Vote",9095310.00,0.00
"FY 2019-20",110,"Communications Security Establishment","S","Contributions to employee benefit plans",40999270.00,40999270.00
"FY 2019-20",110,"Communications Security Establishment","S","Spending of proceeds from the disposal of surplus Crown assets",24052.00,17489.00
"FY 2019-20",114,"Copyright Board",1,"Operating/Program",3967123.00,3719526.00
"FY 2019-20",114,"Copyright Board","S","Contributions to employee benefit plans",350504.00,350504.00
"FY 2019-20",117,"Correctional Service of Canada",1,"Operating/Program",2314024059.00,2259654306.00
"FY 2019-20",117,"Correctional Service of Canada",10,"Budget Implementation Vote",16235190.00,0.00
"FY 2019-20",117,"Correctional Service of Canada",5,"Capital",187722156.00,164642887.00
"FY 2019-20",117,"Correctional Service of Canada","S","CORCAN Revolving Fund",3879668.00,10000354.00
"FY 2019-20",117,"Correctional Service of Canada","S","Contributions to employee benefit plans",217578864.00,217578864.00
"FY 2019-20",117,"Correctional Service of Canada","S","Refunds of amounts credited to revenues in previous years",10.00,10.00
"FY 2019-20",117,"Correctional Service of Canada","S","Spending of proceeds from the disposal of surplus Crown assets",1950800.00,945014.00
"FY 2019-20",118,"Courts Administration Service",1,"Operating/Program",90552799.00,87245347.00
"FY 2019-20",118,"Courts Administration Service",10,"Budget Implementation Vote",880000.00,0.00
"FY 2019-20",118,"Courts Administration Service",5,"Budget Implementation Vote",176175.00,0.00
"FY 2019-20",118,"Courts Administration Service","S","Contributions to employee benefit plans",8080641.00,8080641.00
"FY 2019-20",118,"Courts Administration Service","S","Refunds of amounts credited to revenues in previous years",765.00,765.00
"FY 2019-20",118,"Courts Administration Service","S","Spending of proceeds from the disposal of surplus Crown assets",33609.00,
"FY 2019-20",122,"Department of Canadian Heritage",1,"Operating/Program",215475781.00,204714364.00
"FY 2019-20",122,"Department of Canadian Heritage",10,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",15,"Budget Implementation Vote",67305.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",20,"Budget Implementation Vote",93368.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",25,"Budget Implementation Vote",261313.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",30,"Budget Implementation Vote",35735.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",35,"Budget Implementation Vote",279489.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",40,"Budget Implementation Vote",106004.00,0.00
"FY 2019-20",122,"Department of Canadian Heritage",5,"Grants & Contributions",1358410415.00,1320217181.00
"FY 2019-20",122,"Department of Canadian Heritage","S","Contributions to employee benefit plans",22767004.00,22767004.00
"FY 2019-20",122,"Department of Canadian Heritage","S","Payments under the Lieutenant Governors Superannuation Act",1089527.00,1089527.00
"FY 2019-20",122,"Department of Canadian Heritage","S","Salaries of the Lieutenant Governors",1480340.00,1480340.00
"FY 2019-20",122,"Department of Canadian Heritage","S","Salary and Motor Car Allowance",88063.00,88063.00
"FY 2019-20",122,"Department of Canadian Heritage","S","Spending of proceeds from the disposal of surplus Crown assets",20432.00,14632.00
"FY 2019-20",122,"Department of Canadian Heritage","S","Supplementary retirement benefits - Former Lieutenant Governors",203840.00,203840.00
"FY 2019-20",123,"Department of Citizenship and Immigration",1,"Operating/Program",1122745120.00,1027830097.00
"FY 2019-20",123,"Department of Citizenship and Immigration",10,"Grants & Contributions",1940098036.00,1827665242.00
"FY 2019-20",123,"Department of Citizenship and Immigration",15,"Budget Implementation Vote",35321555.00,0.00
"FY 2019-20",123,"Department of Citizenship and Immigration",20,"Budget Implementation Vote",4156277.00,0.00
"FY 2019-20",123,"Department of Citizenship and Immigration",25,"Budget Implementation Vote",2463899.00,0.00
"FY 2019-20",123,"Department of Citizenship and Immigration",30,"Budget Implementation Vote",11250000.00,0.00
"FY 2019-20",123,"Department of Citizenship and Immigration",35,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",123,"Department of Citizenship and Immigration",5,"Capital",29185359.00,16313249.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Contributions to employee benefit plans",77941021.00,77941021.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Court Awards",33178.00,33178.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Fees returned in connection with a terminated application",341680.00,341680.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Fees returned in connection with a terminated application in Investor and Entrepreneur Classes",102180.00,102180.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Passport Canada Revolving Fund (Revolving Funds Act)",1273060519.00,101307641.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Refunds of amounts credited to revenues in previous years",8975525.00,8975525.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Salary and Motor Car Allowance",87500.00,87500.00
"FY 2019-20",123,"Department of Citizenship and Immigration","S","Spending of proceeds from the disposal of surplus Crown assets",24259.00,2207.00
"FY 2019-20",124,"Department of Finance",1,"Operating/Program",109577155.00,107152924.00
"FY 2019-20",124,"Department of Finance",10,"Budget Implementation Vote",444400.00,0.00
"FY 2019-20",124,"Department of Finance",15,"Budget Implementation Vote",150000.00,0.00
"FY 2019-20",124,"Department of Finance",20,"Budget Implementation Vote",164730.00,0.00
"FY 2019-20",124,"Department of Finance",5,"Other",1.00,0.00
"FY 2019-20",124,"Department of Finance","S","Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",8227000.00,8227000.00
"FY 2019-20",124,"Department of Finance","S","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",-96002000.00,-96002000.00
"FY 2019-20",124,"Department of Finance","S","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-4767184000.00,-4767184000.00
"FY 2019-20",124,"Department of Finance","S","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",40371762839.00,40371762839.00
"FY 2019-20",124,"Department of Finance","S","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",14585672000.00,14585672000.00
"FY 2019-20",124,"Department of Finance","S","Contributions to employee benefit plans",12795302.00,12795302.00
"FY 2019-20",124,"Department of Finance","S","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",48080000.00,48080000.00
"FY 2019-20",124,"Department of Finance","S","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",19837259000.00,19837259000.00
"FY 2019-20",124,"Department of Finance","S","Fiscal Stabilization (Part II — Federal-Provincial Fiscal Arrangements Act)",271733098.00,271733098.00
"FY 2019-20",124,"Department of Finance","S","Interest on Unmatured Debt",17836992523.00,17836992523.00
"FY 2019-20",124,"Department of Finance","S","Losses on Foreign Exchange",30234031.00,30234031.00
"FY 2019-20",124,"Department of Finance","S","Other Interest Costs",5951868513.00,5951868513.00
"FY 2019-20",124,"Department of Finance","S","Payment of liabilities previously recorded as revenue",5133457.00,5133457.00
"FY 2019-20",124,"Department of Finance","S","Payment pursuant to section 24(1) of the Financial Administration Act",3066900.00,3066900.00
"FY 2019-20",124,"Department of Finance","S","Payment to the Canada Infrastructure Bank",759153755.00,759153755.00
"FY 2019-20",124,"Department of Finance","S","Payments related to Canada health transfer",500000000.00,500000000.00
"FY 2019-20",124,"Department of Finance","S","Payments to International Development Association",441620000.00,441620000.00
"FY 2019-20",124,"Department of Finance","S","Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act",68571831.00,
"FY 2019-20",124,"Department of Finance","S","Purchase of Domestic Coinage",86362679.00,86362679.00
"FY 2019-20",124,"Department of Finance","S","Refund of prior year expenditures",-103000000.00,-103000000.00
"FY 2019-20",124,"Department of Finance","S","Salary and Motor Car Allowance",88228.00,88228.00
"FY 2019-20",124,"Department of Finance","S","Spending of proceeds from the disposal of surplus Crown assets",673.00,
"FY 2019-20",124,"Department of Finance","S","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42643709.00,42643709.00
"FY 2019-20",124,"Department of Finance","S","Statutory payments to the Canadian Commercial Corporation",4500000.00,4500000.00
"FY 2019-20",124,"Department of Finance","S","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",3948402899.00,3948402899.00
"FY 2019-20",124,"Department of Finance","S","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-1043882172.00,-1043882172.00
"FY 2019-20",125,"Department of Fisheries and Oceans",1,"Operating/Program",2028134795.00,1999340165.00
"FY 2019-20",125,"Department of Fisheries and Oceans",10,"Grants & Contributions",374869376.00,279057315.00
"FY 2019-20",125,"Department of Fisheries and Oceans",15,"Budget Implementation Vote",1570572.00,0.00
"FY 2019-20",125,"Department of Fisheries and Oceans",20,"Budget Implementation Vote",796299.00,0.00
"FY 2019-20",125,"Department of Fisheries and Oceans",5,"Capital",1141335777.00,701602927.00
"FY 2019-20",125,"Department of Fisheries and Oceans","S","Contributions to employee benefit plans",151731247.00,151731247.00
"FY 2019-20",125,"Department of Fisheries and Oceans","S","Losses on Foreign Exchange",82463.00,82463.00
"FY 2019-20",125,"Department of Fisheries and Oceans","S","Refunds of amounts credited to revenues in previous years",2349.00,2349.00
"FY 2019-20",125,"Department of Fisheries and Oceans","S","Salary and Motor Car Allowance",87500.00,87500.00
"FY 2019-20",125,"Department of Fisheries and Oceans","S","Spending of proceeds from the disposal of surplus Crown assets",7030030.00,4166518.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",1,"Operating/Program",2000308597.00,1883363260.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",10,"Grants & Contributions",4970141490.00,4674051462.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",15,"Operating/Program",68874000.00,68493656.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",20,"Other",2.00,0.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",25,"Budget Implementation Vote",11446936.00,0.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",30,"Budget Implementation Vote",443260.00,0.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",35,"Budget Implementation Vote",104280.00,0.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",40,"Budget Implementation Vote",2021487.00,0.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",45,"Budget Implementation Vote",6133109.00,0.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development",5,"Capital",130319951.00,108543093.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Contributions to employee benefit plans",115878927.00,115878927.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Losses on Foreign Exchange",73415744.00,73415744.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Payments to International Financial Institutions - Direct payments",250365984.00,250365984.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Payments under the Diplomatic Service (Special) Superannuation Act",829215.00,829215.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan",22187530.00,
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Refunds of amounts credited to revenues in previous years",4657.00,4657.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Salary and Motor Car Allowance",201736.00,201736.00
"FY 2019-20",126,"Department of Foreign Affairs, Trade and Development","S","Spending of proceeds from the disposal of surplus Crown assets",1825541.00,1755463.00
"FY 2019-20",127,"Department of Health",1,"Operating/Program",943650600.00,920053183.00
"FY 2019-20",127,"Department of Health",10,"Grants & Contributions",1558227090.00,1547551142.00
"FY 2019-20",127,"Department of Health",15,"Budget Implementation Vote",5264266.00,0.00
"FY 2019-20",127,"Department of Health",20,"Budget Implementation Vote",3192134.00,0.00
"FY 2019-20",127,"Department of Health",25,"Budget Implementation Vote",5000000.00,0.00
"FY 2019-20",127,"Department of Health",30,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",127,"Department of Health",35,"Budget Implementation Vote",160287.00,0.00
"FY 2019-20",127,"Department of Health",40,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",127,"Department of Health",45,"Budget Implementation Vote",11200000.00,0.00
"FY 2019-20",127,"Department of Health",5,"Capital",23198674.00,21532491.00
"FY 2019-20",127,"Department of Health",50,"Budget Implementation Vote",500000.00,0.00
"FY 2019-20",127,"Department of Health","S","Canada Health Infoway Inc.",10130622.00,10130622.00
"FY 2019-20",127,"Department of Health","S","Collection Agency Fees",45222.00,45222.00
"FY 2019-20",127,"Department of Health","S","Contributions to employee benefit plans",110307779.00,110307779.00
"FY 2019-20",127,"Department of Health","S","Payment pursuant to section 24(1) of the Financial Administration Act",69000.00,69000.00
"FY 2019-20",127,"Department of Health","S","Refunds of amounts credited to revenues in previous years",58728.00,58728.00
"FY 2019-20",127,"Department of Health","S","Salary and Motor Car Allowance",87743.00,87743.00
"FY 2019-20",127,"Department of Health","S","Spending of proceeds from the disposal of surplus Crown assets",154019.00,30855.00
"FY 2019-20",127,"Department of Health","S","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",65522304.00,65522304.00
"FY 2019-20",128,"Department of Employment and Social Development",1,"Operating/Program",951275788.00,908775572.00
"FY 2019-20",128,"Department of Employment and Social Development",10,"Budget Implementation Vote",233363.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",15,"Budget Implementation Vote",0.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",20,"Budget Implementation Vote",85551.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",25,"Budget Implementation Vote",18039680.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",30,"Budget Implementation Vote",1150766.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",35,"Budget Implementation Vote",6821178.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",40,"Budget Implementation Vote",653592.00,0.00
"FY 2019-20",128,"Department of Employment and Social Development",45,"Budget Implementation Vote",1000000.00,0.00
