fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2019-20,127,Department of Health,5,Capital,23198674,21532491
FY 2019-20,127,Department of Health,50,Budget Implementation Vote,500000,0
FY 2019-20,127,Department of Health,S,Canada Health Infoway Inc.,10130622,10130622
FY 2019-20,127,Department of Health,S,Collection Agency Fees,45222,45222
FY 2019-20,127,Department of Health,S,Contributions to employee benefit plans,110307779,110307779
FY 2019-20,127,Department of Health,S,Payment pursuant to section 24(1) of the Financial Administration Act,69000,69000
FY 2019-20,127,Department of Health,S,Refunds of amounts credited to revenues in previous years,58728,58728
FY 2019-20,127,Department of Health,S,Salary and Motor Car Allowance,87743,87743
FY 2019-20,127,Department of Health,S,Spending of proceeds from the disposal of surplus Crown assets,154019,30855
FY 2019-20,127,Department of Health,S,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",65522304,65522304
FY 2019-20,128,Department of Employment and Social Development,1,Operating/Program,951275788,908775572
FY 2019-20,128,Department of Employment and Social Development,10,Budget Implementation Vote,233363,0
FY 2019-20,128,Department of Employment and Social Development,15,Budget Implementation Vote,0,0
FY 2019-20,128,Department of Employment and Social Development,20,Budget Implementation Vote,85551,0
FY 2019-20,128,Department of Employment and Social Development,25,Budget Implementation Vote,18039680,0
FY 2019-20,128,Department of Employment and Social Development,30,Budget Implementation Vote,1150766,0
FY 2019-20,128,Department of Employment and Social Development,35,Budget Implementation Vote,6821178,0
FY 2019-20,128,Department of Employment and Social Development,40,Budget Implementation Vote,653592,0
FY 2019-20,128,Department of Employment and Social Development,45,Budget Implementation Vote,1000000,0
FY 2019-20,128,Department of Employment and Social Development,5,Grants & Contributions,3045652233,2980269273
FY 2019-20,128,Department of Employment and Social Development,50,Budget Implementation Vote,0,0
FY 2019-20,128,Department of Employment and Social Development,55,Budget Implementation Vote,13843150,0
FY 2019-20,128,Department of Employment and Social Development,60,Budget Implementation Vote,60450,0
FY 2019-20,128,Department of Employment and Social Development,65,Budget Implementation Vote,0,0
FY 2019-20,128,Department of Employment and Social Development,70,Budget Implementation Vote,2276410,0
FY 2019-20,128,Department of Employment and Social Development,75,Budget Implementation Vote,0,0
FY 2019-20,128,Department of Employment and Social Development,80,Budget Implementation Vote,0,0
FY 2019-20,128,Department of Employment and Social Development,85,Budget Implementation Vote,308738,0
FY 2019-20,128,Department of Employment and Social Development,90,Debt Forgiveness,180432220,179127425
FY 2019-20,128,Department of Employment and Social Development,S,Allowance payments (Old Age Security Act),555643258,555643258
FY 2019-20,128,Department of Employment and Social Development,S,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,137353313,137353313
FY 2019-20,128,Department of Employment and Social Development,S,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,371028405,371028405
FY 2019-20,128,Department of Employment and Social Development,S,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,969415697,969415697
FY 2019-20,128,Department of Employment and Social Development,S,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,216239609,216239609
FY 2019-20,128,Department of Employment and Social Development,S,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,1583022844,1583022844
FY 2019-20,128,Department of Employment and Social Development,S,Contributions to employee benefit plans,263938694,263938694
FY 2019-20,128,Department of Employment and Social Development,S,Energy Cost Benefit,-125,-125
FY 2019-20,128,Department of Employment and Social Development,S,Guaranteed Income Supplement Payments (Old Age Security Act),13007928280,13007928280
FY 2019-20,128,Department of Employment and Social Development,S,Old Age Security payments (Old Age Security Act),42706488728,42706488728
FY 2019-20,128,Department of Employment and Social Development,S,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),29245290,29245290
FY 2019-20,128,Department of Employment and Social Development,S,Payments pursuant to the Public Health Events of National Concern Payments Act,4755547878,4755547878
FY 2019-20,128,Department of Employment and Social Development,S,Payments related to the direct financing arrangement under the Apprentice Loans Act,2182482,2182482
FY 2019-20,128,Department of Employment and Social Development,S,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,934933044,934933044
FY 2019-20,128,Department of Employment and Social Development,S,Refunds of amounts credited to revenues in previous years,884244,884244
FY 2019-20,128,Department of Employment and Social Development,S,Salary and Motor Car Allowance,263228,263228
FY 2019-20,128,Department of Employment and Social Development,S,Spending of Revenues pursuant to subsection 5.2(2) of the Department of Employment and Social Development Act,165958373,165937221
FY 2019-20,128,Department of Employment and Social Development,S,Spending of proceeds from the disposal of surplus Crown assets,158996,55534
FY 2019-20,128,Department of Employment and Social Development,S,Spending pursuant to section 12(4) of the Canada Education Savings Act,1954301,1031548
FY 2019-20,128,Department of Employment and Social Development,S,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,4524088,4524088
FY 2019-20,128,Department of Employment and Social Development,S,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,48476,48476
FY 2019-20,128,Department of Employment and Social Development,S,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-2228515,-2228515
FY 2019-20,128,Department of Employment and Social Development,S,Universal Child Care Benefit (Universal Child Care Benefit Act),2994054,2994054
FY 2019-20,128,Department of Employment and Social Development,S,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",54113581,54113581
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,1,Operating/Program,3327271854,2480236427
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,10,Grants & Contributions,3531631271,2746587869
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,25,Budget Implementation Vote,0,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,30,Budget Implementation Vote,0,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,35,Budget Implementation Vote,7758176,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,40,Budget Implementation Vote,4864,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,45,Budget Implementation Vote,0,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,5,Capital,9426629,5917332
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,50,Budget Implementation Vote,25777783,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,55,Budget Implementation Vote,3935592,0
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,60,Debt Forgiveness,919028970,914022919
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Climate Action Support,1192455,1192455
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Contributions to employee benefit plans,22055023,22055023
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Court Awards,11518818,11518818
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,53284653,53284653
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Indian Annuities Treaty payments,1745734,1745734
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Refunds of amounts credited to revenues in previous years,577230,577230
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Salary and Motor Car Allowance,119341,119341
FY 2019-20,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Spending of proceeds from the disposal of surplus Crown assets,1142567,695347
FY 2019-20,130,Department of Industry,1,Operating/Program,481428884,476015192
FY 2019-20,130,Department of Industry,10,Grants & Contributions,2369573160,1740264099
FY 2019-20,130,Department of Industry,25,Budget Implementation Vote,4023056,0
FY 2019-20,130,Department of Industry,30,Budget Implementation Vote,248990,0
FY 2019-20,130,Department of Industry,35,Budget Implementation Vote,1266718,0
FY 2019-20,130,Department of Industry,40,Budget Implementation Vote,964000,0
FY 2019-20,130,Department of Industry,45,Budget Implementation Vote,283628,0
FY 2019-20,130,Department of Industry,5,Capital,9232810,7869741
FY 2019-20,130,Department of Industry,50,Budget Implementation Vote,0,0
FY 2019-20,130,Department of Industry,55,Budget Implementation Vote,2648333,0
FY 2019-20,130,Department of Industry,60,Budget Implementation Vote,0,0
FY 2019-20,130,Department of Industry,65,Budget Implementation Vote,47093,0
FY 2019-20,130,Department of Industry,70,Budget Implementation Vote,34742,0
FY 2019-20,130,Department of Industry,S,Canadian Intellectual Property Office Revolving Fund,134367353,19600283
FY 2019-20,130,Department of Industry,S,Contributions to employee benefit plans,57619579,57619579
FY 2019-20,130,Department of Industry,S,Contributions to the Canadian Institute for Advanced Research - Pan Canadian Artificial Intelligence,17619000,17619000
FY 2019-20,130,Department of Industry,S,Grant and Contribution to Genome Canada,11400000,11400000
FY 2019-20,130,Department of Industry,S,Liabilities under the Canada Small Business Financing Act,54686824,54686824
FY 2019-20,130,Department of Industry,S,Refunds of amounts credited to revenues in previous years,528400,528400
FY 2019-20,130,Department of Industry,S,Salary and Motor Car Allowance,289236,289236
FY 2019-20,130,Department of Industry,S,Spending of proceeds from the disposal of surplus Crown assets,386879,215230
FY 2019-20,132,Department of Justice,1,Operating/Program,306024384,295422398
FY 2019-20,132,Department of Justice,10,Budget Implementation Vote,2677915,0
FY 2019-20,132,Department of Justice,15,Budget Implementation Vote,3049,0
FY 2019-20,132,Department of Justice,20,Budget Implementation Vote,0,0
FY 2019-20,132,Department of Justice,25,Budget Implementation Vote,0,0
FY 2019-20,132,Department of Justice,5,Grants & Contributions,451303800,440049591
FY 2019-20,132,Department of Justice,S,Contributions to employee benefit plans,77161111,77161111
FY 2019-20,132,Department of Justice,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,132,Department of Justice,S,Spending of proceeds from the disposal of surplus Crown assets,32803,434
FY 2019-20,133,Department of National Defence,1,Operating/Program,16930205666,16385307841
FY 2019-20,133,Department of National Defence,10,Grants & Contributions,222589645,222587777
FY 2019-20,133,Department of National Defence,15,Operating/Program,435458107,417198950
FY 2019-20,133,Department of National Defence,20,Budget Implementation Vote,310769,0
FY 2019-20,133,Department of National Defence,25,Budget Implementation Vote,63037000,0
FY 2019-20,133,Department of National Defence,30,Budget Implementation Vote,4483609,0
FY 2019-20,133,Department of National Defence,35,Budget Implementation Vote,9059899,0
FY 2019-20,133,Department of National Defence,5,Capital,4455248004,4164429282
FY 2019-20,133,Department of National Defence,S,Contributions to employee benefit plans,292333237,292333237
FY 2019-20,133,Department of National Defence,S,Contributions to employee benefit plans (Members of the Military),1321615141,1321615141
FY 2019-20,133,Department of National Defence,S,Losses on Foreign Exchange,7920184,7920184
FY 2019-20,133,Department of National Defence,S,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",25833,25833
FY 2019-20,133,Department of National Defence,S,Payments under Parts I-IV of the Defence Services Pension Continuation Act,225142,225142
FY 2019-20,133,Department of National Defence,S,Payments under the Supplementary Retirement Benefits Act,1043008,1043008
FY 2019-20,133,Department of National Defence,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,133,Department of National Defence,S,Spending of proceeds from the disposal of surplus Crown assets,33312268,26664442
FY 2019-20,134,Department of Natural Resources,1,Operating/Program,622682865,609326261
FY 2019-20,134,Department of Natural Resources,10,Grants & Contributions,522629163,415597935
FY 2019-20,134,Department of Natural Resources,15,Budget Implementation Vote,131402,0
FY 2019-20,134,Department of Natural Resources,20,Budget Implementation Vote,717249,0
FY 2019-20,134,Department of Natural Resources,25,Budget Implementation Vote,3269440,0
FY 2019-20,134,Department of Natural Resources,30,Budget Implementation Vote,0,0
FY 2019-20,134,Department of Natural Resources,35,Budget Implementation Vote,808900,0
FY 2019-20,134,Department of Natural Resources,40,Budget Implementation Vote,0,0
FY 2019-20,134,Department of Natural Resources,5,Capital,17142879,16036366
FY 2019-20,134,Department of Natural Resources,S,Climate Action Support Payments (Energy Manager Program and Clean Energy for Rural and Remote Communities Program),3966904,3966904
FY 2019-20,134,Department of Natural Resources,S,Contribution to the Canada/Newfoundland Offshore Petroleum Board,568245,568245
FY 2019-20,134,Department of Natural Resources,S,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,51968,51968
FY 2019-20,134,Department of Natural Resources,S,Contribution to the Federation of Canadian Municipalities for the Green Municipal Fund,950000000,950000000
FY 2019-20,134,Department of Natural Resources,S,Contributions to employee benefit plans,60623377,60623377
FY 2019-20,134,Department of Natural Resources,S,Geomatics Canada Revolving Fund,6172997,-1
FY 2019-20,134,Department of Natural Resources,S,Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources,24862021,24862021
FY 2019-20,134,Department of Natural Resources,S,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,363966637,363966637
FY 2019-20,134,Department of Natural Resources,S,Payments to the Nova Scotia Offshore Revenue Account,9545908,9545908
FY 2019-20,134,Department of Natural Resources,S,Salary and Motor Car Allowance,85069,85069
FY 2019-20,134,Department of Natural Resources,S,Spending of proceeds from the disposal of surplus Crown assets,276646,160237
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,1,Operating/Program,157987793,151945975
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,10,Budget Implementation Vote,472725,0
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,15,Budget Implementation Vote,1773000,0
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,20,Budget Implementation Vote,330066,0
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,25,Budget Implementation Vote,120678,0
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,30,Budget Implementation Vote,2000000,0
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,35,Budget Implementation Vote,1009036,0
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,5,Grants & Contributions,730191138,686678690
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,S,Contributions to employee benefit plans,15567031,15567031
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,S,Salary and Motor Car Allowance,143403,143403
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,S,Spending of proceeds from the disposal of surplus Crown assets,15788,
FY 2019-20,135,Department of Public Safety and Emergency Preparedness,S,Transfer payments in connection with the Budget Implementation Act,65000000,65000000
FY 2019-20,136,Department of Public Works and Government Services,1,Operating/Program,2826113338,2589977548
FY 2019-20,136,Department of Public Works and Government Services,10,Budget Implementation Vote,852323,0
FY 2019-20,136,Department of Public Works and Government Services,15,Budget Implementation Vote,71193744,0
FY 2019-20,136,Department of Public Works and Government Services,20,Budget Implementation Vote,0,0
FY 2019-20,136,Department of Public Works and Government Services,25,Budget Implementation Vote,390786,0
FY 2019-20,136,Department of Public Works and Government Services,30,Budget Implementation Vote,588006,0
FY 2019-20,136,Department of Public Works and Government Services,35,Budget Implementation Vote,102359779,0
FY 2019-20,136,Department of Public Works and Government Services,40,Budget Implementation Vote,0,0
FY 2019-20,136,Department of Public Works and Government Services,5,Capital,1401557485,1086103659
FY 2019-20,136,Department of Public Works and Government Services,S,Collection Agency Fees,49,49
FY 2019-20,136,Department of Public Works and Government Services,S,Contributions to employee benefit plans,139398533,139398533
FY 2019-20,136,Department of Public Works and Government Services,S,Defence Production Revolving Fund,100000000,
FY 2019-20,136,Department of Public Works and Government Services,S,Optional Services Revolving Fund,33071743,-4098898
FY 2019-20,136,Department of Public Works and Government Services,S,Payment in lieu of taxes to municipalities and other taxing authorities,324530,324530
FY 2019-20,136,Department of Public Works and Government Services,S,Real Property Services Revolving Fund,214503027,5866619
FY 2019-20,136,Department of Public Works and Government Services,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,136,Department of Public Works and Government Services,S,Spending of proceeds from the disposal of surplus Crown assets,644370,242190
FY 2019-20,136,Department of Public Works and Government Services,S,Translation Bureau Revolving Fund,57278060,10785646
FY 2019-20,137,Department of the Environment,1,Operating/Program,896856534,870607881
FY 2019-20,137,Department of the Environment,10,Grants & Contributions,791612951,481634380
FY 2019-20,137,Department of the Environment,15,Budget Implementation Vote,467882,0
FY 2019-20,137,Department of the Environment,20,Budget Implementation Vote,198215,0
FY 2019-20,137,Department of the Environment,25,Budget Implementation Vote,508309,0
FY 2019-20,137,Department of the Environment,30,Budget Implementation Vote,0,0
FY 2019-20,137,Department of the Environment,5,Capital,109541298,95510341
FY 2019-20,137,Department of the Environment,S,Contributions to employee benefit plans,96239783,96239783
FY 2019-20,137,Department of the Environment,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,137,Department of the Environment,S,Spending of proceeds from the disposal of surplus Crown assets,1874175,1584736
FY 2019-20,138,Department of Transport,1,Operating/Program,781590892,753799602
FY 2019-20,138,Department of Transport,10,Grants & Contributions,614974527,371541785
FY 2019-20,138,Department of Transport,15,Grants & Contributions,332947502,213982219
FY 2019-20,138,Department of Transport,20,Grants & Contributions,48989725,24271425
FY 2019-20,138,Department of Transport,25,Budget Implementation Vote,767403,0
FY 2019-20,138,Department of Transport,30,Budget Implementation Vote,300608,0
FY 2019-20,138,Department of Transport,35,Budget Implementation Vote,1035350,0
FY 2019-20,138,Department of Transport,40,Budget Implementation Vote,275000,0
FY 2019-20,138,Department of Transport,45,Budget Implementation Vote,2147890,0
FY 2019-20,138,Department of Transport,5,Capital,171192945,132601685
FY 2019-20,138,Department of Transport,50,Budget Implementation Vote,11081897,0
FY 2019-20,138,Department of Transport,S,Contributions to employee benefit plans,79841335,79841335
FY 2019-20,138,Department of Transport,S,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,66998519,66998519
FY 2019-20,138,Department of Transport,S,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,58796238,58796238
FY 2019-20,138,Department of Transport,S,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000,3300000
FY 2019-20,138,Department of Transport,S,Refunds of amounts credited to revenues in previous years,440,440
FY 2019-20,138,Department of Transport,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,138,Department of Transport,S,Spending of proceeds from the disposal of surplus Crown assets,1351008,
FY 2019-20,139,Department of Veterans Affairs,1,Operating/Program,1263033033,1146915325
FY 2019-20,139,Department of Veterans Affairs,10,Budget Implementation Vote,30000000,0
FY 2019-20,139,Department of Veterans Affairs,15,Budget Implementation Vote,30000,0
FY 2019-20,139,Department of Veterans Affairs,20,Budget Implementation Vote,0,0
FY 2019-20,139,Department of Veterans Affairs,25,Budget Implementation Vote,0,0
FY 2019-20,139,Department of Veterans Affairs,30,Budget Implementation Vote,141143,0
FY 2019-20,139,Department of Veterans Affairs,35,Budget Implementation Vote,1664894,0
FY 2019-20,139,Department of Veterans Affairs,5,Grants & Contributions,3957213575,3648775941
FY 2019-20,139,Department of Veterans Affairs,S,Contributions to employee benefit plans,36546389,36546389
FY 2019-20,139,Department of Veterans Affairs,S,Court Awards,17550,17550
FY 2019-20,139,Department of Veterans Affairs,S,Refunds of amounts credited to revenues in previous years,2433,2433
FY 2019-20,139,Department of Veterans Affairs,S,Returned Soldiers Insurance Actuarial Liability Adjustment,1780,1780
FY 2019-20,139,Department of Veterans Affairs,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,139,Department of Veterans Affairs,S,Spending of proceeds from the disposal of surplus Crown assets,24866,24866
FY 2019-20,139,Department of Veterans Affairs,S,Veterans Insurance Actuarial Liability Adjustment,2572,2572
FY 2019-20,140,Department of Western Economic Diversification,1,Operating/Program,44588627,43546431
FY 2019-20,140,Department of Western Economic Diversification,10,Budget Implementation Vote,42752,0
FY 2019-20,140,Department of Western Economic Diversification,15,Budget Implementation Vote,0,0
FY 2019-20,140,Department of Western Economic Diversification,20,Budget Implementation Vote,0,0
FY 2019-20,140,Department of Western Economic Diversification,25,Budget Implementation Vote,1026058,0
FY 2019-20,140,Department of Western Economic Diversification,5,Grants & Contributions,266443500,261119937
FY 2019-20,140,Department of Western Economic Diversification,S,Contributions to employee benefit plans,4413622,4413622
FY 2019-20,140,Department of Western Economic Diversification,S,Spending of proceeds from the disposal of surplus Crown assets,446,439
FY 2019-20,141,Economic Development Agency of Canada for the Regions of Quebec,1,Operating/Program,42572174,41494315
FY 2019-20,141,Economic Development Agency of Canada for the Regions of Quebec,10,Budget Implementation Vote,38630,0
FY 2019-20,141,Economic Development Agency of Canada for the Regions of Quebec,5,Grants & Contributions,284837735,278837615
FY 2019-20,141,Economic Development Agency of Canada for the Regions of Quebec,S,Contributions to employee benefit plans,4290796,4290796
FY 2019-20,141,Economic Development Agency of Canada for the Regions of Quebec,S,Spending of proceeds from the disposal of surplus Crown assets,5270,
FY 2019-20,146,Export Development Canada (Canada Account),S,Administrative fees,8589503,8589503
FY 2019-20,150,Federal Economic Development Agency for Southern Ontario,1,Operating/Program,31311730,31073767
FY 2019-20,150,Federal Economic Development Agency for Southern Ontario,10,Budget Implementation Vote,53590,0
FY 2019-20,150,Federal Economic Development Agency for Southern Ontario,5,Grants & Contributions,232999790,232999790
FY 2019-20,150,Federal Economic Development Agency for Southern Ontario,S,Contributions to employee benefit plans,3430851,3430851
FY 2019-20,150,Federal Economic Development Agency for Southern Ontario,S,Spending of proceeds from the disposal of surplus Crown assets,33392,
FY 2019-20,151,Financial Consumer Agency of Canada,S,Payments under section 13 of the Financial Consumer Agency of Canada Act,30330955,30330955
FY 2019-20,151,Financial Consumer Agency of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,236,236
FY 2019-20,152,Financial Transactions and Reports Analysis Centre of Canada,1,Operating/Program,54916462,50468277
FY 2019-20,152,Financial Transactions and Reports Analysis Centre of Canada,5,Budget Implementation Vote,465320,0
FY 2019-20,152,Financial Transactions and Reports Analysis Centre of Canada,S,Contributions to employee benefit plans,4814489,4814489
FY 2019-20,152,Financial Transactions and Reports Analysis Centre of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,242,
FY 2019-20,174,Immigration and Refugee Board,1,Operating/Program,201460087,181258241
FY 2019-20,174,Immigration and Refugee Board,5,Budget Implementation Vote,9480401,0
FY 2019-20,174,Immigration and Refugee Board,S,Contributions to employee benefit plans,19148361,19148361
FY 2019-20,174,Immigration and Refugee Board,S,Spending of proceeds from the disposal of surplus Crown assets,703,703
FY 2019-20,186,International Development Research Centre,1,Payments to Crown Corps,142907117,142907117
FY 2019-20,189,International Joint Commission (Canadian Section),1,Operating/Program,11177071,8404880
FY 2019-20,189,International Joint Commission (Canadian Section),S,Contributions to employee benefit plans,526799,526799
FY 2019-20,194,The Jacques-Cartier and Champlain Bridges Inc.,1,Payments to Crown Corps,322063784,155646771
FY 2019-20,199,Library and Archives of Canada,1,Operating/Program,116864806,112516159
FY 2019-20,199,Library and Archives of Canada,5,Capital,44767511,9943623
FY 2019-20,199,Library and Archives of Canada,S,Contributions to employee benefit plans,11890867,11890867
FY 2019-20,199,Library and Archives of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,6398,3546
FY 2019-20,200,Library of Parliament,1,Operating/Program,45702995,44227876
FY 2019-20,200,Library of Parliament,S,Contributions to employee benefit plans,5051268,5051268
FY 2019-20,202,Marine Atlantic Inc.,1,Payments to Crown Corps,155904000,130903730
FY 2019-20,209,Military Grievances External Review Committee,1,Operating/Program,6563033,5723311
FY 2019-20,209,Military Grievances External Review Committee,S,Contributions to employee benefit plans,652573,652573
FY 2019-20,210,Military Police Complaints Commission,1,Operating/Program,4580279,4309492
FY 2019-20,210,Military Police Complaints Commission,S,Contributions to employee benefit plans,421740,421740
FY 2019-20,210,Military Police Complaints Commission,S,Spending of proceeds from the disposal of surplus Crown assets,50,
FY 2019-20,217,National Arts Centre Corporation,1,Payments to Crown Corps,35270142,35270142
FY 2019-20,218,The National Battlefields Commission,1,Operating/Program,7304514,7229661
FY 2019-20,218,The National Battlefields Commission,S,Contributions to employee benefit plans,521641,521641
FY 2019-20,218,The National Battlefields Commission,S,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,2627049,2627049
FY 2019-20,219,National Capital Commission,1,Payments to Crown Corps,75027120,75027120
FY 2019-20,219,National Capital Commission,5,Payments to Crown Corps,62452816,62452816
FY 2019-20,221,Canadian Energy Regulator,1,Operating/Program,99575527,87599971
FY 2019-20,221,Canadian Energy Regulator,5,Budget Implementation Vote,0,0
FY 2019-20,221,Canadian Energy Regulator,S,Contributions to employee benefit plans,10397019,10397019
FY 2019-20,221,Canadian Energy Regulator,S,Spending of proceeds from the disposal of surplus Crown assets,898,
FY 2019-20,223,National Film Board,1,Operating/Program,74322253,71471046
FY 2019-20,223,National Film Board,S,National Film Board Revolving Fund,14547713,4439258
FY 2019-20,224,National Gallery of Canada,1,Payments to Crown Corps,39170830,39170830
FY 2019-20,224,National Gallery of Canada,5,Payments to Crown Corps,8000000,8000000
FY 2019-20,226,National Museum of Science and Technology,1,Payments to Crown Corps,30936832,30936832
FY 2019-20,227,Parole Board of Canada,1,Operating/Program,45980633,45337810
FY 2019-20,227,Parole Board of Canada,S,Contributions to employee benefit plans,6118468,6118468
FY 2019-20,227,Parole Board of Canada,S,Court Awards,1650,1650
FY 2019-20,227,Parole Board of Canada,S,Refunds of amounts credited to revenues in previous years,631,631
FY 2019-20,227,Parole Board of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,30232,30232
FY 2019-20,228,National Research Council of Canada,1,Operating/Program,472801238,465563613
FY 2019-20,228,National Research Council of Canada,10,Grants & Contributions,464165901,435225394
FY 2019-20,228,National Research Council of Canada,5,Capital,59913794,51022610
FY 2019-20,228,National Research Council of Canada,S,Collection Agency Fees,472,472
FY 2019-20,228,National Research Council of Canada,S,Contributions to employee benefit plans,63672044,63672044
FY 2019-20,228,National Research Council of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,947937,550000
FY 2019-20,228,National Research Council of Canada,S,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,305089750,198567732
FY 2019-20,230,Natural Sciences and Engineering Research Council,1,Operating/Program,58002189,56497646
FY 2019-20,230,Natural Sciences and Engineering Research Council,10,Budget Implementation Vote,35288,0
FY 2019-20,230,Natural Sciences and Engineering Research Council,15,Budget Implementation Vote,0,0
FY 2019-20,230,Natural Sciences and Engineering Research Council,5,Grants & Contributions,1300483175,1296861360
FY 2019-20,230,Natural Sciences and Engineering Research Council,S,Contributions to employee benefit plans,5865130,5865130
FY 2019-20,230,Natural Sciences and Engineering Research Council,S,Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act,141127,141127
FY 2019-20,230,Natural Sciences and Engineering Research Council,S,Spending of proceeds from the disposal of surplus Crown assets,1026,89
FY 2019-20,235,Northern Pipeline Agency,1,Operating/Program,1055000,234992
FY 2019-20,235,Northern Pipeline Agency,S,Contributions to employee benefit plans,3475,3475
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",1,Operating/Program,186770382,114541200
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",10,Grants & Contributions,5226079579,3215825356
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",5,Capital,1324769226,1208973851
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",S,Contribution to the Federation of Canadian Municipalities for the Asset Management Fund,60000000,60000000
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",S,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),4340912262,4340912262
