"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities",435456000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Contributions to employee benefit plans",240988404
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",912000000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",159000000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Civil Service Insurance actuarial liability adjustments",145000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Universal Child Care Benefit (Universal Child Care Benefit Act)",12000000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Supplementary retirement benefits — Annuities agents' pensions",35000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act",4448876
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",1190684653
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Salary and Motor Car Allowance",172000
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Allowance payments (Old Age Security Act)",550221046
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Old Age Security payments (Old Age Security Act)",40854760327
"FY 2018-19","Department of Employment and Social Development","Main Estimates","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act",-2889287
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Guaranteed Income Supplement Payments (Old Age Security Act)",12262059046
"FY 2018-19","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",858073325
"FY 2018-19","Department of Finance","Main Estimates","Interest on Unmatured Debt",16591000000
"FY 2018-19","Department of Finance","Main Estimates","Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act",51200000
"FY 2018-19","Department of Finance","Main Estimates","Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",18092000
"FY 2018-19","Department of Finance","Main Estimates","Other Interest Costs",6247000000
"FY 2018-19","Department of Finance","Main Estimates","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",-113203000
"FY 2018-19","Department of Finance","Main Estimates","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-909825000
"FY 2018-19","Department of Finance","Main Estimates","Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",38583703000
"FY 2018-19","Department of Finance","Main Estimates","Contributions to employee benefit plans",11554840
"FY 2018-19","Department of Finance","Main Estimates","Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act)",18958259000
"FY 2018-19","Department of Finance","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Finance","Main Estimates","Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)",14160847000
"FY 2018-19","Department of Finance","Main Estimates","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42355897
"FY 2018-19","Department of Finance","Main Estimates","Payments to International Development Association",441610000
"FY 2018-19","Department of Finance","Main Estimates","Purchase of Domestic Coinage",95000000
"FY 2018-19","Department of Finance","Main Estimates","Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act)",3785321565
"FY 2018-19","Department of Finance","Main Estimates","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-4086656000
"FY 2018-19","Department of Fisheries and Oceans","Main Estimates","Contributions to employee benefit plans",135790913
"FY 2018-19","Department of Fisheries and Oceans","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments to International Financial Institutions - Direct payments",232491748
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Main Estimates","Contributions to employee benefit plans",145129247
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Main Estimates","Salary and Motor Car Allowance",258000
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Main Estimates","Payments under the Diplomatic Service (Special) Superannuation Act",250000
"FY 2018-19","Department of Health","Main Estimates","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",51462891
"FY 2018-19","Department of Health","Main Estimates","Contributions to employee benefit plans",101394513
"FY 2018-19","Department of Health","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act)",2170596375
"FY 2018-19","Department of Housing, Infrastructure and Communities","Main Estimates","Contributions to employee benefit plans",7782183
"FY 2018-19","Department of Housing, Infrastructure and Communities","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Indigenous Services","Main Estimates","Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development",2000000
"FY 2018-19","Department of Indigenous Services","Main Estimates","Contributions in connection with First Nations infrastructure",29403625
"FY 2018-19","Department of Indigenous Services","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Indigenous Services","Main Estimates","Contributions to employee benefit plans",47897354
"FY 2018-19","Department of Industry","Main Estimates","CIFAR - Pan Canadian Artificial Intelligence",25000000
"FY 2018-19","Department of Industry","Main Estimates","Contributions to employee benefit plans",55435603
"FY 2018-19","Department of Industry","Main Estimates","Liabilities under the Canada Small Business Financing Act",64946634
"FY 2018-19","Department of Industry","Main Estimates","Salary and Motor Car Allowance",90000
"FY 2018-19","Department of Industry","Main Estimates","Canadian Intellectual Property Office Revolving Fund",24763447
"FY 2018-19","Department of Industry","Main Estimates","Grant and Contribution to Genome Canada",24700000
"FY 2018-19","Department of Justice","Main Estimates","Contributions to employee benefit plans",69474097
"FY 2018-19","Department of Justice","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of National Defence","Main Estimates","Contributions to employee benefit plans (Members of the Military)",924054674
"FY 2018-19","Department of National Defence","Main Estimates","Contributions to employee benefit plans",276016331
"FY 2018-19","Department of National Defence","Main Estimates","Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",26000
"FY 2018-19","Department of National Defence","Main Estimates","Payments under Parts I-IV of the Defence Services Pension Continuation Act",400000
"FY 2018-19","Department of National Defence","Main Estimates","Payments under the Supplementary Retirement Benefits Act",1700000
"FY 2018-19","Department of National Defence","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Natural Resources","Main Estimates","Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources",438281
"FY 2018-19","Department of Natural Resources","Main Estimates","Contribution to the Canada/Newfoundland Offshore Petroleum Board",8835000
"FY 2018-19","Department of Natural Resources","Main Estimates","Payments to the Nova Scotia Offshore Revenue Account",5356008
"FY 2018-19","Department of Natural Resources","Main Estimates","Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund",392506962
"FY 2018-19","Department of Natural Resources","Main Estimates","Contribution to the Canada/Nova Scotia Offshore Petroleum Board",4355000
"FY 2018-19","Department of Natural Resources","Main Estimates","Contributions to employee benefit plans",55612681
"FY 2018-19","Department of Natural Resources","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Public Safety and Emergency Preparedness","Main Estimates","Contributions to employee benefit plans",15485644
"FY 2018-19","Department of Public Safety and Emergency Preparedness","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Public Works and Government Services","Main Estimates","Real Property Services Revolving Fund",3700249
"FY 2018-19","Department of Public Works and Government Services","Main Estimates","Translation Bureau Revolving Fund",7308187
"FY 2018-19","Department of Public Works and Government Services","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Public Works and Government Services","Main Estimates","Contributions to employee benefit plans",103569254
"FY 2018-19","Department of Transport","Main Estimates","Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act",67543835
"FY 2018-19","Department of Transport","Main Estimates","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",77627288
"FY 2018-19","Department of Transport","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Transport","Main Estimates","Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000
"FY 2018-19","Department of Transport","Main Estimates","Contributions to employee benefit plans",75268813
"FY 2018-19","Department of Veterans Affairs","Main Estimates","Veterans Insurance Actuarial Liability Adjustment",175000
"FY 2018-19","Department of Veterans Affairs","Main Estimates","Returned Soldiers Insurance Actuarial Liability Adjustment",10000
"FY 2018-19","Department of Veterans Affairs","Main Estimates","Re-establishment credits under section 8 of the War Service Grants Act",12000
"FY 2018-19","Department of Veterans Affairs","Main Estimates","Contributions to employee benefit plans",31209862
"FY 2018-19","Department of Veterans Affairs","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Western Economic Diversification","Main Estimates","Contributions to employee benefit plans",3825014
"FY 2018-19","Department of the Environment","Main Estimates","Contributions to employee benefit plans",86361045
"FY 2018-19","Department of the Environment","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Economic Development Agency of Canada for the Regions of Quebec","Main Estimates","Contributions to employee benefit plans",4505652
"FY 2018-19","Federal Economic Development Agency for Southern Ontario","Main Estimates","Contributions to employee benefit plans",2788550
"FY 2018-19","Financial Transactions and Reports Analysis Centre of Canada","Main Estimates","Contributions to employee benefit plans",5277106
"FY 2018-19","House of Commons","Main Estimates","Contributions to employee benefit plans",39833993
"FY 2018-19","House of Commons","Main Estimates","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",120173658
"FY 2018-19","Immigration and Refugee Board","Main Estimates","Contributions to employee benefit plans",14361361
"FY 2018-19","Impact Assessment Agency of Canada","Main Estimates","Contributions to employee benefit plans",3397455
"FY 2018-19","International Joint Commission (Canadian Section)","Main Estimates","Contributions to employee benefit plans",617906
"FY 2018-19","Invest in Canada Hub","Main Estimates","Contributions to employee benefit plans",981490
"FY 2018-19","Library and Archives of Canada","Main Estimates","Contributions to employee benefit plans",10909563
"FY 2018-19","Library of Parliament","Main Estimates","Contributions to employee benefit plans",4996406
"FY 2018-19","Military Grievances External Review Committee","Main Estimates","Contributions to employee benefit plans",611361
"FY 2018-19","Military Police Complaints Commission","Main Estimates","Contributions to employee benefit plans",428892
"FY 2018-19","National Research Council of Canada","Main Estimates","Contributions to employee benefit plans",38258447
"FY 2018-19","National Research Council of Canada","Main Estimates","Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act",182000000
"FY 2018-19","National Security and Intelligence Review Agency Secretariat","Main Estimates","Contributions to employee benefit plans",526343
"FY 2018-19","Natural Sciences and Engineering Research Council","Main Estimates","Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act",178779
"FY 2018-19","Natural Sciences and Engineering Research Council","Main Estimates","Contributions to employee benefit plans",5271310
"FY 2018-19","Northern Pipeline Agency","Main Estimates","Contributions to employee benefit plans",28880
"FY 2018-19","Office of the Auditor General","Main Estimates","Contributions to employee benefit plans",9196992
"FY 2018-19","Office of the Chief Electoral Officer","Main Estimates","Salary of the Chief Electoral Officer",315300
"FY 2018-19","Office of the Chief Electoral Officer","Main Estimates","Contributions to employee benefit plans",8581294
"FY 2018-19","Office of the Chief Electoral Officer","Main Estimates","Electoral expenditures",95546487
"FY 2018-19","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Contributions to employee benefit plans",921152
"FY 2018-19","Office of the Commissioner for Federal Judicial Affairs","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",572093242
"FY 2018-19","Office of the Commissioner of Lobbying","Main Estimates","Contributions to employee benefit plans",394644
"FY 2018-19","Office of the Commissioner of Official Languages","Main Estimates","Contributions to employee benefit plans",2181383
"FY 2018-19","Office of the Conflict of Interest and Ethics Commissioner","Main Estimates","Contributions to employee benefit plans",733782
"FY 2018-19","Office of the Correctional Investigator of Canada","Main Estimates","Contributions to employee benefit plans",501043
"FY 2018-19","Office of the Director of Public Prosecutions","Main Estimates","Contributions to employee benefit plans",17928275
"FY 2018-19","Office of the Director of Public Prosecutions","Main Estimates","Electoral expenditures",1362696
"FY 2018-19","Office of the Governor General's Secretary","Main Estimates","Contributions to employee benefit plans",2068616
"FY 2018-19","Office of the Governor General's Secretary","Main Estimates","Annuities payable under the Governor General's Act",727879
"FY 2018-19","Office of the Governor General's Secretary","Main Estimates","Salary of the Governor General",294200
"FY 2018-19","Office of the Intelligence Commissioner","Main Estimates","Contributions to employee benefit plans",165976
"FY 2018-19","Office of the Parliamentary Budget Officer","Main Estimates","Contributions to employee benefit plans",630514
"FY 2018-19","Office of the Public Sector Integrity Commissioner","Main Estimates","Contributions to employee benefit plans",476051
"FY 2018-19","Office of the Senate Ethics Officer","Main Estimates","Contributions to employee benefit plans",122402
"FY 2018-19","Office of the Superintendent of Financial Institutions","Main Estimates","Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act",152133867
"FY 2018-19","Offices of the Information and Privacy Commissioners of Canada","Main Estimates","Contributions to employee benefit plans",3526663
"FY 2018-19","Parks Canada Agency","Main Estimates","Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act",140000000
"FY 2018-19","Parks Canada Agency","Main Estimates","Contributions to employee benefit plans",47781977
"FY 2018-19","Parliamentary Protective Service","Main Estimates","Contributions to employee benefit plans",6784000
"FY 2018-19","Parole Board of Canada","Main Estimates","Contributions to employee benefit plans",5678702
"FY 2018-19","Patented Medicine Prices Review Board","Main Estimates","Contributions to employee benefit plans",1181921
"FY 2018-19","Privy Council Office","Main Estimates","Contributions to employee benefit plans",15726650
"FY 2018-19","Privy Council Office","Main Estimates","Salary and Motor Car Allowance",349800
"FY 2018-19","Public Health Agency of Canada","Main Estimates","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",13412742
"FY 2018-19","Public Health Agency of Canada","Main Estimates","Contributions to employee benefit plans",29071697
"FY 2018-19","Public Service Commission","Main Estimates","Contributions to employee benefit plans",11315589
"FY 2018-19","Registrar of the Supreme Court of Canada","Main Estimates","Contributions to employee benefit plans",2273951
"FY 2018-19","Registrar of the Supreme Court of Canada","Main Estimates","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",8241373
"FY 2018-19","Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",59486341
"FY 2018-19","Royal Canadian Mounted Police","Main Estimates","Pensions and other employee benefits - Members of the Force",398100900
"FY 2018-19","Royal Canadian Mounted Police","Main Estimates","Pensions under the Royal Canadian Mounted Police Pension Continuation Act",8250000
"FY 2018-19","Royal Canadian Mounted Police External Review Committee","Main Estimates","Contributions to employee benefit plans",252583
"FY 2018-19","Secretariat of the National Security and Intelligence Committee of Parliamentarians","Main Estimates","Contributions to employee benefit plans",199081
"FY 2018-19","Senate","Main Estimates","Contributions to employee benefit plans",8811394
"FY 2018-19","Senate","Main Estimates","Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",26117487
"FY 2018-19","Shared Services Canada","Main Estimates","Contributions to employee benefit plans",79335340
"FY 2018-19","Social Sciences and Humanities Research Council","Main Estimates","Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act",94976
"FY 2018-19","Social Sciences and Humanities Research Council","Main Estimates","Contributions to employee benefit plans",2934818
"FY 2018-19","Statistics Canada","Main Estimates","Contributions to employee benefit plans",62829151
"FY 2018-19","The National Battlefields Commission","Main Estimates","Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act",2000000
"FY 2018-19","The National Battlefields Commission","Main Estimates","Contributions to employee benefit plans",341576
"FY 2018-19","Treasury Board Secretariat","Main Estimates","Salary and Motor Car Allowance",86000
"FY 2018-19","Treasury Board Secretariat","Main Estimates","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act",340000000
"FY 2018-19","Treasury Board Secretariat","Main Estimates","Contributions to employee benefit plans",27897303
"FY 2018-19","Veterans Review and Appeal Board","Main Estimates","Contributions to employee benefit plans",1319583
"FY 2018-19","Canada Border Services Agency","Supplementary Estimates A","Contributions to employee benefit plans",6046050
"FY 2018-19","Canada Revenue Agency","Supplementary Estimates A","Contributions to employee benefit plans",3630436
"FY 2018-19","Canadian Energy Regulator","Supplementary Estimates A","Contributions to employee benefit plans",934512
"FY 2018-19","Canadian Food Inspection Agency","Supplementary Estimates A","Contributions to employee benefit plans",401242
"FY 2018-19","Canadian Security Intelligence Service","Supplementary Estimates A","Contributions to employee benefit plans",737329
"FY 2018-19","Canadian Transportation Accident Investigation and Safety Board","Supplementary Estimates A","Contributions to employee benefit plans",496241
"FY 2018-19","Canadian Transportation Agency","Supplementary Estimates A","Contributions to employee benefit plans",265519
"FY 2018-19","Courts Administration Service","Supplementary Estimates A","Contributions to employee benefit plans",371487
"FY 2018-19","Department of Agriculture and Agri-Food","Supplementary Estimates A","Contributions to employee benefit plans",795390
"FY 2018-19","Department of Canadian Heritage","Supplementary Estimates A","Contributions to employee benefit plans",538313
"FY 2018-19","Department of Citizenship and Immigration","Supplementary Estimates A","Contributions to employee benefit plans",542047
"FY 2018-19","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates A","Contributions to employee benefit plans",2790524
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates A","Contributions to employee benefit plans",784657
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates A","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Finance","Supplementary Estimates A","Payment to the Canada Infrastructure Bank",477284533
"FY 2018-19","Department of Finance","Supplementary Estimates A","Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act)",11400000
"FY 2018-19","Department of Fisheries and Oceans","Supplementary Estimates A","Contributions to employee benefit plans",3148380
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Supplementary Estimates A","Contributions to employee benefit plans",919271
"FY 2018-19","Department of Health","Supplementary Estimates A","Payment to the Province of Ontario pursuant to section 103 of the Patent Act",20000000
"FY 2018-19","Department of Health","Supplementary Estimates A","Contributions to employee benefit plans",769222
"FY 2018-19","Department of Indigenous Services","Supplementary Estimates A","Contributions to employee benefit plans",6235021
"FY 2018-19","Department of Industry","Supplementary Estimates A","Contributions to employee benefit plans",44000
"FY 2018-19","Department of Industry","Supplementary Estimates A","Salary and Motor Car Allowance",254000
"FY 2018-19","Department of Justice","Supplementary Estimates A","Contributions to employee benefit plans",443709
"FY 2018-19","Department of National Defence","Supplementary Estimates A","Contributions to employee benefit plans",-163853
"FY 2018-19","Department of Natural Resources","Supplementary Estimates A","Contributions to employee benefit plans",627963
"FY 2018-19","Department of Public Safety and Emergency Preparedness","Supplementary Estimates A","Contributions to employee benefit plans",464843
"FY 2018-19","Department of Public Safety and Emergency Preparedness","Supplementary Estimates A","Salary and Motor Car Allowance",86000
"FY 2018-19","Department of Public Works and Government Services","Supplementary Estimates A","Contributions to employee benefit plans",297425
"FY 2018-19","Department of Transport","Supplementary Estimates A","Contributions to employee benefit plans",840813
"FY 2018-19","Department of Veterans Affairs","Supplementary Estimates A","Contributions to employee benefit plans",2636260
"FY 2018-19","Department of the Environment","Supplementary Estimates A","Contributions to employee benefit plans",1777400
"FY 2018-19","Immigration and Refugee Board","Supplementary Estimates A","Contributions to employee benefit plans",264656
"FY 2018-19","Impact Assessment Agency of Canada","Supplementary Estimates A","Contributions to employee benefit plans",1827718
"FY 2018-19","Parks Canada Agency","Supplementary Estimates A","Contributions to employee benefit plans",132140
"FY 2018-19","Parliamentary Protective Service","Supplementary Estimates A","Contributions to employee benefit plans",502057
"FY 2018-19","Privy Council Office","Supplementary Estimates A","Contributions to employee benefit plans",2730151
"FY 2018-19","Public Health Agency of Canada","Supplementary Estimates A","Contributions to employee benefit plans",137186
"FY 2018-19","Royal Canadian Mounted Police","Supplementary Estimates A","Pensions and other employee benefits - Members of the Force",271768
"FY 2018-19","Royal Canadian Mounted Police","Supplementary Estimates A","Contributions to employee benefit plans",372192
"FY 2018-19","Shared Services Canada","Supplementary Estimates A","Contributions to employee benefit plans",3403338
"FY 2018-19","Administrative Tribunals Support Service of Canada","Supplementary Estimates B","Contributions to employee benefit plans",260727
"FY 2018-19","Canada Revenue Agency","Supplementary Estimates B","Contributions to employee benefit plans",1918931
"FY 2018-19","Canadian Energy Regulator","Supplementary Estimates B","Contributions to employee benefit plans",41921
"FY 2018-19","Canadian Food Inspection Agency","Supplementary Estimates B","Contributions to employee benefit plans",279129
"FY 2018-19","Communications Security Establishment","Supplementary Estimates B","Contributions to employee benefit plans",143519
"FY 2018-19","Correctional Service of Canada","Supplementary Estimates B","Contributions to employee benefit plans",924275
"FY 2018-19","Department for Women and Gender Equality","Supplementary Estimates B","Salary and Motor Car Allowance",86000
"FY 2018-19","Department for Women and Gender Equality","Supplementary Estimates B","Contributions to employee benefit plans",10722
"FY 2018-19","Department of Canadian Heritage","Supplementary Estimates B","Contributions to employee benefit plans",18069
"FY 2018-19","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates B","Contributions to employee benefit plans",66333
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities",-44156000
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities",49157000
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Payments related to the direct financing arrangement under the Apprentice Loans Act",-2618259
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Contributions to employee benefit plans",1650388
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",13000000
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",17000000
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",409315347
"FY 2018-19","Department of Employment and Social Development","Supplementary Estimates B","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",96166085
"FY 2018-19","Department of Finance","Supplementary Estimates B","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",23379000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Other Interest Costs",105000000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Payment to the Canada Infrastructure Bank",99000000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Interest on Unmatured Debt",-138000000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-9167000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Purchase of Domestic Coinage",-3000000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-76762000
"FY 2018-19","Department of Finance","Supplementary Estimates B","Contributions to employee benefit plans",329862
"FY 2018-19","Department of Fisheries and Oceans","Supplementary Estimates B","Contributions to employee benefit plans",299314
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Supplementary Estimates B","Payments under the Diplomatic Service (Special) Superannuation Act",250000
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Supplementary Estimates B","Payments to International Financial Institutions - Direct payments",18192575
"FY 2018-19","Department of Foreign Affairs, Trade and Development","Supplementary Estimates B","Contributions to employee benefit plans",4600
"FY 2018-19","Department of Indigenous Services","Supplementary Estimates B","Contributions to employee benefit plans",2877716
"FY 2018-19","Department of Industry","Supplementary Estimates B","Contributions to employee benefit plans",156712
"FY 2018-19","Department of National Defence","Supplementary Estimates B","Contributions to employee benefit plans (Members of the Military)",7546634
"FY 2018-19","Department of Natural Resources","Supplementary Estimates B","Contributions to employee benefit plans",465054
"FY 2018-19","Department of Public Works and Government Services","Supplementary Estimates B","Contributions to employee benefit plans",194612
"FY 2018-19","Department of Transport","Supplementary Estimates B","Contributions to employee benefit plans",199342
"FY 2018-19","Leaders' Debates Commission","Supplementary Estimates B","Contributions to employee benefit plans",29181
"FY 2018-19","Library of Parliament","Supplementary Estimates B","Contributions to employee benefit plans",48695
"FY 2018-19","Office of the Chief Electoral Officer","Supplementary Estimates B","Contributions to employee benefit plans",17231
"FY 2018-19","Office of the Chief Electoral Officer","Supplementary Estimates B","Electoral expenditures",-1326734
"FY 2018-19","Royal Canadian Mounted Police","Supplementary Estimates B","Contributions to employee benefit plans",144063
"FY 2018-19","Royal Canadian Mounted Police","Supplementary Estimates B","Pensions and other employee benefits - Members of the Force",35261
"FY 2018-19","Shared Services Canada","Supplementary Estimates B","Contributions to employee benefit plans",407765
"FY 2018-19","Statistics Canada","Supplementary Estimates B","Contributions to employee benefit plans",166284
"FY 2018-19","Treasury Board Secretariat","Supplementary Estimates B","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act",3107000000
"FY 2018-19","Treasury Board Secretariat","Supplementary Estimates B","Contributions to employee benefit plans",18114
"FY 2019-20","Administrative Tribunals Support Service of Canada","Main Estimates","Contributions to employee benefit plans",9729373
"FY 2019-20","Atlantic Canada Opportunities Agency","Main Estimates","Contributions to employee benefit plans",8547893
"FY 2019-20","Canada Border Services Agency","Main Estimates","Contributions to employee benefit plans",190454658
"FY 2019-20","Canada Revenue Agency","Main Estimates","Children's special allowance payments",337000000
"FY 2019-20","Canada Revenue Agency","Main Estimates","Contributions to employee benefit plans",451391959
"FY 2019-20","Canada Revenue Agency","Main Estimates","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",178954430
"FY 2019-20","Canada Revenue Agency","Main Estimates","Salary and Motor Car Allowance",87700
"FY 2019-20","Canada School of Public Service","Main Estimates","Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act",15460524
"FY 2019-20","Canada School of Public Service","Main Estimates","Contributions to employee benefit plans",8739416
"FY 2019-20","Canadian Centre for Occupational Health and Safety","Main Estimates","Contributions to employee benefit plans",629954
"FY 2019-20","Canadian Centre for Occupational Health and Safety","Main Estimates","Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act",4300000
"FY 2019-20","Canadian Energy Regulator","Main Estimates","Contributions to employee benefit plans",9148252
"FY 2019-20","Canadian Food Inspection Agency","Main Estimates","Contributions to employee benefit plans",73910864
